cust,monthly_bill,qty,size,weekly_yards,commodity,pickups,bin_amount,tax_body,biz_type
6796,1772.84,1,0.48,0.48,Recycle,1,100.93,COUNTY,RESTAURANT
6796,1772.84,4,0.48,1.92,Recycle,1,100.93,COUNTY,RESTAURANT
6796,1772.84,1,4,16,Recycle,4,75,COUNTY,RESTAURANT
6796,1772.84,1,4,16,Recycle,4,75,COUNTY,RESTAURANT
6796,1772.84,1,4,16,Recycle,4,75,COUNTY,RESTAURANT
6796,1772.84,1,4,16,Recycle,4,75,COUNTY,RESTAURANT
6835,482.56,1,2,2,Garbage,1,482.56,COUNTY,WINERY
6835,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
6835,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
6835,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
7162,760.91,1,2,2,Garbage,1,760.91,COUNTY,WINERY
7162,760.91,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
7162,760.91,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
7162,760.91,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
7567,363.91,1,2,2,Garbage,1,363.91,S,CONTRACTOR
7679,32.62,1,0.48,0.48,Recycle,1,0,S,COMMUNITY
7849,2238.2,1,4,8,Garbage,2,1278.97,S,MIXED USE
7849,2238.2,1,4,8,Garbage,2,1278.97,S,MIXED USE
7849,2238.2,1,4,8,Recycle,2,959.23,S,MIXED USE
7849,2238.2,1,4,8,Recycle,2,959.23,S,MIXED USE
8041,134.57,1,0.48,0.48,Recycle,1,0,COUNTY,LODGING
8041,134.57,1,0.48,0.48,Compost,1,0,COUNTY,LODGING
8045,179.42,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8045,179.42,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
8045,179.42,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
8045,179.42,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8063,1048.95,1,2,6,Garbage,3,973.95,S,GROCERY
8063,1048.95,1,2,6,Garbage,3,973.95,S,GROCERY
8063,1048.95,1,2,6,Garbage,3,973.95,S,GROCERY
8063,1048.95,3,0.48,1.44,Recycle,1,0,S,GROCERY
8063,1048.95,1,4,12,Recycle,3,75,S,GROCERY
8063,1048.95,1,4,12,Recycle,3,75,S,GROCERY
8063,1048.95,1,4,12,Recycle,3,75,S,GROCERY
8141,540.19,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8141,540.19,1,2,2,Garbage,1,540.19,COUNTY,WINERY
8141,540.19,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8141,540.19,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8141,540.19,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
8212,269.13,6,0.48,2.88,Recycle,1,0,S,MULTIFAMIL
8212,269.13,1,0.48,0.48,Recycle,1,73.41,S,MULTIFAMIL
8212,269.13,3,0.48,1.44,Compost,1,0,S,MULTIFAMIL
8213,65.24,1,0.48,0.48,Recycle,1,0,S,DUPLEX
8213,65.24,1,0.48,0.48,Recycle,1,0,S,DUPLEX
8213,65.24,1,0.48,0.48,Compost,1,0,S,DUPLEX
8327,89.71,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8327,89.71,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
8626,89.71,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8626,89.71,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
8657,97.87,2,0.48,0.96,Recycle,1,0,S,RESTAURANT
8688,269.14,2,0.48,0.96,Recycle,1,0,COUNTY,
8688,269.14,1,0.48,0.48,Compost,1,0,COUNTY,
8747,583.49,1,2,2,Garbage,1,482.56,COUNTY,WINERY
8747,583.49,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8747,583.49,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8747,583.49,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8747,583.49,1,0.48,0.48,Recycle,1,100.93,COUNTY,WINERY
8747,583.49,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
8758,1130.67,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8758,1130.67,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8758,1130.67,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8758,1130.67,1,4,4,Garbage,1,1005.67,COUNTY,WINERY
8758,1130.67,1,4,0,Recycle,0,75,COUNTY,WINERY
8800,304.02,1,0.48,0.48,Recycle,1,0,C,MULTIFAMIL
8800,304.02,1,0.48,0.48,Recycle,1,0,C,MULTIFAMIL
8800,304.02,1,0.48,0.48,Compost,1,0,C,MULTIFAMIL
8818,370.07,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
8818,370.07,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
8818,370.07,1,0.48,0.48,Recycle,1,100.93,COUNTY,WINERY
8883,482.56,1,2,2,Garbage,1,482.56,COUNTY,CONTRACTOR
8883,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,CONTRACTOR
8913,269.14,1,0.48,0.48,Recycle,1,0,COUNTY,
8913,269.14,1,0.48,0.48,Compost,1,0,COUNTY,
8959,844.48,1,2,2,Garbage,1,482.56,COUNTY,WINERY
8959,844.48,1,2,2,Recycle,1,361.92,COUNTY,WINERY
8959,844.48,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
8959,844.48,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
9090,177.16,1,0.48,0.48,Recycle,1,0,Y,WINERY
9090,177.16,1,0.48,0.48,Recycle,1,75.92,Y,WINERY
9121,1624.18,1,6,6,Garbage,1,1298.25,COUNTY,WINERY
9121,1624.18,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
9121,1624.18,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
9121,1624.18,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
9121,1624.18,1,0.48,0.48,Recycle,1,100.93,COUNTY,WINERY
9121,1624.18,1,4,4,Recycle,1,75,COUNTY,WINERY
9121,1624.18,1,4,4,Recycle,1,75,COUNTY,WINERY
9121,1624.18,1,6,12,Recycle,2,75,COUNTY,WINERY
9121,1624.18,1,6,12,Recycle,2,75,COUNTY,WINERY
9121,1624.18,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
9195,134.57,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
9195,134.57,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
9349,72.9,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
9368,1638.21,1,4,4,Garbage,1,890.4,COUNTY,WINERY
9368,1638.21,1,4,4,Recycle,1,667.81,COUNTY,WINERY
9368,1638.21,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
