cust,tax_body,biz_type,total_yards,garbage,recycle,needed_recycle,compost,needed_compost,enough_recycle_compost,garbage_cost,recycle_cost,compost_cost,monthly_bill
10516,COUNTY,VINEYARD,5.44,4.0,1.44,2,0.0,1,0,890.4,0.0,0.0,890.4
10519,COUNTY,WINERY,10.5,3.5,7.0,2,0.0,1,0,0.0,0.0,0.0,0.0
10521,COUNTY,WINERY,21.44,4.0,11.44,2,6.0,1,1,1121.14,150.0,1168.96,2440.1
10522,COUNTY,OTHER,0.96,0.48,0.48,0,0.0,0,1,134.57,0.0,0.0,134.57
10523,COUNTY,WINERY,17.439999999999998,4.0,13.44,2,0.0,1,0,890.4,817.81,0.0,1708.21
10524,COUNTY,GROCERY,15.76,6.0,4.0,3,5.76,2,1,1298.25,75.0,0.0,1373.25
10525,COUNTY,WINERY,12.56,6.0,4.0,3,2.56,2,1,2133.3,1085.33,360.8,3579.43
10531,COUNTY,VINEYARD,8.0,4.0,4.0,2,0.0,1,0,1447.1,1085.33,0.0,2532.43
10532,COUNTY,WINERY,25.44,6.0,15.44,3,4.0,2,1,1298.25,817.81,605.47,2721.53
10535,COUNTY,VINEYARD,4.48,4.0,0.48,2,0.0,1,0,890.4,0.0,0.0,890.4
10550,S,OTHER,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,363.91
10553,S,CONTRACTOR,4.32,0.0,2.4,0,1.92,0,1,0.0,73.41,66.56,405.39
10556,S,WINERY,27.92,6.0,21.92,3,0.0,2,0,973.95,298.41,0.0,1197.36
10558,Y,GROCERY,97.2,36.0,55.44,18,5.76,12,0,6758.91,225.0,0.0,2327.97
10561,Y,MULTIFAMIL,29.6,16.0,8.32,8,5.280000000000001,5,1,3160.6,75.0,206.52,1861.82
10613,COUNTY,CONTRACTOR,2.0,2.0,0.0,1,0.0,1,0,482.56,0.0,0.0,482.56
10626,S,OTHER,18.0,2.0,16.0,1,0.0,1,0,363.91,150.0,0.0,438.91
10628,C,MEDICAL,4.4,2.0,1.92,1,0.48,1,0,439.46,76.0,0.0,515.46
10638,S,OFFICE BLD,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,413.91
10642,S,LODGING,2.96,2.0,0.96,1,0.0,1,0,363.91,0.0,0.0,363.91
10648,COUNTY,WINERY,13.76,8.0,5.44,4,0.32,3,0,2242.26,667.81,0.0,1788.94
10669,COUNTY,WINERY,1.12,0.64,0.48,0,0.0,0,1,116.53,0.0,0.0,233.06
10730,COUNTY,WINERY,24.96,16.0,8.96,8,0.0,5,0,3412.2,150.0,0.0,1856.1
10771,COUNTY,WINERY,24.0,4.0,20.0,2,0.0,1,0,890.4,225.0,0.0,1040.4
10778,S,OTHER,0.64,0.16,0.48,0,0.0,0,1,32.62,0.0,0.0,32.62
