COMPANY,CUST #,CYCLE,ROUTE,DAY,RTE SEQ#,QTY,SIZE,CHG CODE,FREQ,SCHEDULE,BIN #,P/U#,BIN AMT$,TAX BODY,VAR3,VAR4,FEE CODE,PRICE LIST
1,5311,CA,65,WED,70,3,96,CR, ,--W----,2,1,0,SC,WINERY,,,CO
1,5311,CA,28,WED,40,1,CT,9, ,--W----,3,1,134.57,SC,WINERY,,,CO
1,5311,CA,85,WED,20,1,96,CG, ,--W----,4,1,0,SC,WINERY,,,CO
1,5311,CA,28,WED,50,1,CT,6, ,--W----,5,1,89.71,SC,WINERY,,,CO
1,5401,CA,28,MON,6620,1,CT,9, ,M------,1,1,101.24,Y,WINERY,,,Y
1,5401,CA,64,MON,2193,1,96,CR, ,M------,2,1,0,Y,WINERY,,,Y
1,5401,CA,64,MON,2200,1,96,AR, ,M------,3,1,75.92,Y,WINERY,,,Y
1,5401,CA,64,MON,2195,1,96,AR, ,M------,4,1,75.92,Y,WINERY,,,Y
1,5401,CA,40,MON,345,1,CF,6, ,M------,5,1,0,Y,WINERY,,,Y
1,5440,CA,21,TUE,1830,1,CT,3, ,-T-----,1,1,32.62,S,,,,S
1,5440,CA,68,TUE,500,1,96,CR, ,-T-----,2,1,0,S,,,,S
1,5492,CA,21,TUE,1650,1,CT,3, ,-T-----,1,1,32.62,S,STRIP MALL,,,S
1,5492,CA,64,TUE,585,1,96,CR, ,-T-----,2,1,0,S,STRIP MALL,,,S
1,5504,CA,21,TUE,1850,1,CT,3, ,-T-----,1,1,32.62,S,OFFICE BLD,,,S
1,5504,CA,68,TUE,320,1,96,CR, ,-T-----,2,1,0,S,OFFICE BLD,,,S
1,5546,TA,    ,UNR,0,1,30,WZ, ,-------,1,0,0,SC,,,,CO
1,5662,CA,25,TUE,110,1,CT,6, ,-T-----,1,1,65.25,S,RETAIL,,,S
1,5662,CA,64,TUE,590,1,96,CR, ,-T-----,2,1,0,S,RETAIL,,,S
1,5827,CA,25,TUE,1020,1,CT,9, ,-T-----,1,1,97.87,S,RETAIL,,,S
1,5827,CA,64,TUE,1005,1,96,CR, ,-T-----,2,1,0,S,RETAIL,,,S
1,5868,CA,46,WED,0,1,3Y,TH, ,--W----,1,1,0,SC,WINERY,,,CO
1,5868,CA,46,WED,0,1,3Y,RH, ,--W----,2,1,0,SC,WINERY,,,CO
1,5886,CA,23,THU,650,1,2Y,T0, ,---H---,1,1,439.46,C,,,,C
1,5886,CA,65,THU,2770,1,96,CR, ,---H---,2,1,0,C,,,,C
1,5955,CA,23,TUE,357,1,2Y,T0, ,-T--F--,1,2,668.93,S,,,,S
1,5955,CA,23,FRI,310,1,2Y,T0, ,-T--F--,1,2,668.93,S,,,,S
1,5955,CA,40,WED,100,2,CF,6, ,--W-F--,2,2,0,S,,,,S
1,5955,CA,40,FRI,140,2,CF,6, ,--W-F--,2,2,0,S,,,,S
1,6090,CA,28,TUE,2730,1,CT,6, ,-T-----,1,1,65.25,S,UTILITY,,,S
1,6090,CA,68,TUE,840,1,96,CR, ,-T-----,2,1,0,S,UTILITY,,,S
1,6090,CA,28,TUE,2740,1,CT,6, ,-T-----,3,1,65.25,S,UTILITY,,,S
1,6090,CA,85,TUE,2150,1,96,CG, ,-T-----,4,1,0,S,UTILITY,,,S
1,6204,CA,25,TUE,1350,1,CT,6, ,-T-----,1,1,65.25,S,HOME IMPRO,,,S
1,6204,CA,68,TUE,1320,1,96,CR, ,-T-----,2,1,0,S,HOME IMPRO,,,S
1,6205,CA,28,TUE,240,1,CT,6, ,-T-----,1,1,89.71,SC,CONTRACTOR,,,CO
1,6205,CA,68,TUE,3830,1,96,CR, ,-T-----,2,1,0,SC,CONTRACTOR,,,CO
1,6205,CA,85,TUE,1145,1,96,CG, ,-T-----,3,1,0,SC,CONTRACTOR,,,CO
1,6413,CA,29,MON,240,1,2Y,T0, ,M------,1,1,482.56,YC,MIXED USE,,,CO
1,6413,CA,62,MON,1840,1,96,CG, ,M------,2,1,0,YC,MIXED USE,,,CO
1,6413,CA,62,MON,1850,1,96,AG, ,M------,3,1,91.52,YC,MIXED USE,,,CO
1,6413,CA,62,MON,1860,1,96,AG, ,M------,4,1,91.52,YC,MIXED USE,,,CO
1,6413,CA,62,MON,1870,1,96,CR, ,M------,5,1,0,YC,MIXED USE,,,CO
1,6488,PA,    ,UNR,0,1,20,WZ, ,-------,1,0,0,Y,,,,Y
1,6542,CA,46,FRI,0,1,3Y,TH, ,----F--,1,1,0,YC,WINERY,,,CO
1,6542,CA,CALL,FRI,0,1,3Y,RH, ,----F--,2,1,0,YC,WINERY,,,CO
1,6640,CA,23,THU,620,1,2Y,T0, ,---H---,1,1,439.46,C,RESTAURANT,,,C
1,6640,CA,65,THU,80,3,96,CR, ,---H---,2,1,0,C,RESTAURANT,,,C
1,6640,CA,65,THU,90,1,96,CR, ,---H---,3,1,0,C,RESTAURANT,,,C
1,6640,CA,85,THU,1285,1,96,CG, ,---H---,4,1,0,C,RESTAURANT,,,C
1,6640,CA,65,THU,100,1,96,CR, ,---H---,5,1,0,C,RESTAURANT,,,C
1,6640,CA,40,MON,230,2,CF,6, ,M-W-F--,6,3,0,C,RESTAURANT,,,C
1,6640,CA,40,WED,175,2,CF,6, ,M-W-F--,6,3,0,C,RESTAURANT,,,C
1,6640,CA,40,FRI,215,2,CF,6, ,M-W-F--,6,3,0,C,RESTAURANT,,,C
1,6640,CA,44,FRI,60,1,4Y,CB, ,----F--,7,1,75,C,RESTAURANT,,,C
1,6782,PA,    ,UNR,0,1,30,RO, ,-------,1,0,0,SC,,,,CO
1,6782,PA,    ,UNR,0,1,30,CZ, ,-------,2,0,0,SC,,,,CO
1,6796,CA,23,FRI,140,1,4Y,T0, ,----F--,1,1,890.4,SC,RESTAURANT,,,CO
1,6796,CA,64,TUE,50,1,96,CR, ,-T-----,2,1,0,SC,RESTAURANT,,,CO
1,6796,CA,64,TUE,55,1,96,CR, ,-T-----,3,1,0,SC,RESTAURANT,,,CO
1,6796,CA,64,TUE,60,1,96,CR, ,-T-----,4,1,0,SC,RESTAURANT,,,CO
1,6796,CA,64,TUE,65,1,96,AR, ,-T-----,5,1,100.93,SC,RESTAURANT,,,CO
1,6796,CA,64,TUE,70,1,96,AR, ,-T-----,6,1,100.93,SC,RESTAURANT,,,CO
1,6796,CA,64,TUE,75,1,96,AR, ,-T-----,7,1,100.93,SC,RESTAURANT,,,CO
1,6796,CA,64,TUE,80,1,96,AR, ,-T-----,8,1,100.93,SC,RESTAURANT,,,CO
1,6796,CA,64,TUE,81,4,96,AR, ,-T-----,9,1,100.93,SC,RESTAURANT,,,CO
1,6796,CA,40,MON,135,6,CF,6, ,M-W-F--,10,3,0,SC,RESTAURANT,,,CO
1,6796,CA,40,WED,75,6,CF,6, ,M-W-F--,10,3,0,SC,RESTAURANT,,,CO
1,6796,CA,40,FRI,45,6,CF,6, ,M-W-F--,10,3,0,SC,RESTAURANT,,,CO
1,6796,CA,44,TUE,415,1,4Y,CB, ,-TW-FS-,11,4,75,SC,RESTAURANT,,,CO
1,6796,CA,44,WED,270,1,4Y,CB, ,-TW-FS-,11,4,75,SC,RESTAURANT,,,CO
1,6796,CA,49,FRI,20,1,4Y,CB, ,-TW-FS-,11,4,75,SC,RESTAURANT,,,CO
1,6796,CA,49,SAT,50,1,4Y,CB, ,-TW-FS-,11,4,75,SC,RESTAURANT,,,CO
1,6835,CA,23,MON,680,1,2Y,T0, ,M------,1,1,482.56,AC,WINERY,,,CO
1,6835,CA,62,WED,3840,1,96,CR, ,--W----,2,1,0,AC,WINERY,,,CO
1,6835,CA,62,WED,3850,1,96,CR, ,--W----,3,1,0,AC,WINERY,,,CO
1,6835,CA,62,WED,3850,1,96,CR, ,--W----,4,1,0,AC,WINERY,,,CO
1,7162,CA,29,MON,270,1,2Y,T4, ,M------,1,1,760.91,YC,WINERY,,,CO
1,7162,CA,62,MON,2169,1,96,CR, ,M------,2,1,0,YC,WINERY,,,CO
1,7162,CA,62,MON,2169,1,96,CR, ,M------,3,1,0,YC,WINERY,,,CO
1,7162,CA,62,MON,2169,1,96,CR, ,M------,4,1,0,YC,WINERY,,,CO
1,7567,CA,23,THU,140,1,2Y,T0, ,---H---,1,1,363.91,S,CONTRACTOR,,,S
1,7679,CA,24,TUE,420,1,CT,3, ,-T-----,1,1,32.62,S,COMMUNITY,,,S
1,7679,CA,64,TUE,2375,1,96,CR, ,-T-----,2,1,0,S,COMMUNITY,,,S
1,7849,CA,23,MON,740,1,4Y,T0, ,M--H---,1,2,1278.97,S,MIXED USE,,,S
1,7849,CA,23,THU,175,1,4Y,T0, ,M--H---,1,2,1278.97,S,MIXED USE,,,S
1,7849,CA,42,MON,5,1,4Y,R0, ,M---F--,2,2,959.23,S,MIXED USE,,,S
1,7849,CA,42,FRI,190,1,4Y,R0, ,M---F--,2,2,959.23,S,MIXED USE,,,S
1,8041,CA,25,WED,2350,1,CT,9, ,--W----,1,1,134.57,SC,LODGING,,,CO
1,8041,CA,64,WED,4300,1,96,CR, ,--W----,2,1,0,SC,LODGING,,,CO
1,8041,CA,85,WED,4240,1,96,CG, ,--W----,3,1,0,SC,LODGING,,,CO
1,8045,CA,62,MON,4960,1,CT,6, ,M------,1,1,89.71,SC,WINERY,,,CO
1,8045,CA,62,MON,4965,1,96,CR, ,M------,2,1,0,SC,WINERY,,,CO
1,8045,CA,62,MON,3605,1,96,CG, ,M------,3,1,0,SC,WINERY,,,CO
1,8045,CA,62,MON,3550,1,96,CG, ,M------,4,1,0,SC,WINERY,,,CO
1,8045,CA,62,MON,4965,1,CT,6, ,M------,5,1,89.71,SC,WINERY,,,CO
1,8045,CA,62,MON,3530,1,96,CR, ,M------,6,1,0,SC,WINERY,,,CO
1,8063,CA,23,MON,160,1,2Y,T0, ,M-W-F--,1,3,973.95,S,GROCERY,,,S
1,8063,CA,23,WED,100,1,2Y,T0, ,M-W-F--,1,3,973.95,S,GROCERY,,,S
1,8063,CA,23,FRI,200,1,2Y,T0, ,M-W-F--,1,3,973.95,S,GROCERY,,,S
1,8063,CA,64,TUE,580,3,96,CR, ,-T-----,2,1,0,S,GROCERY,,,S
1,8063,CA,40,MON,105,2,CF,6, ,M---F--,3,2,0,S,GROCERY,,,S
1,8063,CA,40,FRI,80,2,CF,6, ,M---F--,3,2,0,S,GROCERY,,,S
1,8063,CA,44,TUE,320,1,4Y,CB, ,-TW-F--,4,3,75,S,GROCERY,,,S
1,8063,CA,44,WED,200,1,4Y,CB, ,-TW-F--,4,3,75,S,GROCERY,,,S
1,8063,CA,49,FRI,130,1,4Y,CB, ,-TW-F--,4,3,75,S,GROCERY,,,S
1,8112,PA,    ,UNR,0,1,20,RO, ,-------,1,0,0,SC,,,,CO
1,8141,CA,64,WED,3830,1,96,CR, ,--W----,1,1,0,AC,WINERY,,,CO
1,8141,CA,23,MON,700,1,2Y,T1, ,M------,2,1,540.19,AC,WINERY,,,CO
