CO,CUST#,TAX BODY,CYCLE,MTH$,BAL DUE,UNAPPLIED,CURRENT,30+,60+,90+,V3  BIZ TYPE,V4  SB1383,MTD,YTD,SALES ID,START DT,STOP DT,BILLING STR DT,ACT CD,FEE CODE,PRICE LIST,CREDIT LIMIT
1,20452,S     ,CA,32.62,0,,0,0,0,0,,,0,296.44,,4/5/2016,,3/28/2016,,,S,
1,20602,Y     ,PA,150,8217.36,,8217.36,0,0,0,,,0,69054.04,,5/5/2016,,5/5/2016,,,Y,
1,20631,YC    ,CA,2985.68,0,,0,0,0,0,,,0,27623,,5/10/2016,,5/10/2016,,,CO,
1,20660,YC    ,CA,1298.25,1298.25,,1298.25,0,0,0,,,0,11797.08,,5/23/2016,,5/17/2016,,,CO,
1,20762,S     ,CA,363.91,363.91,,363.91,0,0,0,,,0,3497.08,,10/4/1995,,,,,S,
1,20791,S     ,CA,818.93,818.93,,818.93,0,0,0,,,0,6783.22,,6/17/2016,,6/17/2016,,,S,
1,20819,S     ,CA,2546.95,2621.95,,2621.95,0,0,0,,,0,24590.2,,10/17/1995,,,,,S,
1,20846,S     ,CA,228.36,228.36,,228.36,0,0,0,,,0,2075.16,,6/27/2016,,6/27/2016,,,S,
1,20859,Z     ,CA,0,-2502.01,,-2502.01,0,0,0,,,0,0,,10/1/1995,,,,,Z,
1,20923,S     ,CA,195.74,195.74,,195.74,0,0,0,,,0,1778.72,,11/7/1995,,11/7/1995,,,S,
1,20960,S     ,CA,75,75,,75,0,0,0,,,0,150,,9/30/2003,,9/30/2003,,,S,
1,20968,YC    ,CA,1910.23,2060.23,,2060.23,0,0,0,,,0,17203.36,,11/8/1995,,11/8/1995,,,CO,
1,21038,S     ,CA,726.7,726.7,,726.7,0,0,0,,,0,5157.87,,8/11/2016,,8/11/2016,,,S,
1,21053,Y     ,CA,951.18,951.18,,951.18,0,0,0,,,0,8450.02,,8/15/2016,,8/15/2016,,,Y,
1,21072,Y     ,MA,0,0,,0,0,0,0,,,0,0,,5/18/2013,,5/18/2013,,,Y,
1,21150,SC    ,CA,1382.97,0,,0,0,0,0,,,0,13013.1,,9/2/2016,,9/2/2016,,,CO,
1,21172,YC    ,CA,2169.44,0,,0,0,0,0,,,0,19713.56,,12/25/1995,,12/25/1995,,,CO,
1,21174,C     ,CA,439.46,251.64,,251.64,0,0,0,,,0,2593.03,,9/22/2016,,9/12/2016,,,C,
1,21244,S     ,CA,32.62,0,,0,0,0,0,,,0,296.44,,10/11/2016,,9/29/2016,,,S,
1,21322,S     ,CA,139.98,139.98,,139.98,0,0,0,,,0,1273.78,,10/18/2016,,10/13/2016,,,S,
1,21349,S     ,CA,171.28,120.6,,120.6,0,0,0,,,0,1596.4,,10/19/2016,,10/19/2016,,,S,
1,21431,SC    ,CA,2163.68,4359.82,,2196.14,2163.68,0,0,,,0,15889.37,,11/9/2016,,11/8/2016,,,CO,
1,21438,C     ,CA,34.64,0,,0,0,0,0,RETAIL,,0,347.78,,11/17/2016,,11/9/2016,,,C,
1,21480,YC    ,CA,44.86,45.53,,45.53,0,0,0,,,0,408.29,,12/5/2016,,11/18/2016,,,CO,
1,21489,C     ,CA,1424.48,1474.48,,1474.48,0,0,0,,,0,2908.96,,3/14/1996,,,,,C,
1,21542,YC    ,CA,2997.73,2997.73,,2997.73,0,0,0,,,0,24377.45,,5/31/2003,,5/31/2003,,,CO,
1,21581,S     ,CA,3344.51,3499.51,,3499.51,0,0,0,,,0,26977.6,,3/15/1996,,3/15/1996,,,S,
1,21587,YC    ,CA,482.56,972.36,,489.8,482.56,0,0,,,0,4404.48,,1/2/2017,,12/21/2016,,,CO,
1,21607,C     ,CA,103.93,0,,0,0,0,0,,,0,591.94,,1/5/2017,,12/28/2016,,,C,
1,21615,YC    ,MA,0,0,,0,0,0,0,,,0,4359.22,,4/8/1996,,4/8/1996,,,CO,
1,21622,SC    ,CA,1193.19,1193.19,,1193.19,0,0,0,,,0,8289.01,,1/4/2017,,12/30/2016,,,CO,
1,21625,S     ,CA,97.87,97.87,,97.87,0,0,0,,,0,889.36,,1/3/2017,,1/3/2017,,,S,
1,21645,AC    ,CA,482.56,482.56,,482.56,0,0,0,,,0,4384.96,,1/6/2017,,1/6/2017,,,CO,
1,21661,S     ,CA,97.87,0,,0,0,0,0,,,0,889.36,,4/16/1996,,4/16/1996,,,S,
1,21709,Y     ,CA,4580.94,7291.1,,7291.1,0,0,0,,,90,50908.26,,4/29/1996,,4/29/1996,,,Y,
1,21776,S     ,CA,203.91,0,,0,0,0,0,,,0,1852.92,,2/21/2017,,2/13/2017,,,S,
1,21808,S     ,CA,709.58,709.58,,709.58,0,0,0,,,0,6567.79,,5/21/1996,,5/21/1996,,,S,
1,21816,S     ,CA,97.87,97.87,,97.87,0,0,0,,,0,890.6,,3/14/2017,,2/27/2017,,,S,
1,21848,S     ,CA,743.93,1733.12,,758.55,974.57,0,0,,,0,8329.86,,5/28/1996,,,,,S,
1,21880,S     ,CA,5664.31,5824.31,,5824.31,0,0,0,,,20,34742.71,,3/31/2017,,3/17/2017,,,S,
1,21886,YC    ,CA,403.71,403.71,,403.71,0,0,0,,,0,3711.72,,3/20/2017,,3/20/2017,,,CO,
1,21896,C     ,CA,283.86,0,,0,0,0,0,RESTAURANT,,0,2579.34,,6/5/1996,,6/5/1996,,,C,
1,21906,S     ,CA,195.74,195.74,,195.74,0,0,0,,,0,1704.61,,3/28/2017,,3/22/2017,,,S,
1,22009,S     ,CA,363.91,738.74,,369.37,369.37,0,0,,,0,3323.2,,4/25/2017,,4/18/2017,,,S,
1,22022,S     ,CA,489.35,489.35,,489.35,0,0,0,,,0,4446.8,,4/25/2017,,4/20/2017,,,S,
1,22041,S     ,MA,0,-1762.04,,-1762.04,0,0,0,,,0,0,,5/8/2017,,4/28/2017,,,S,
1,22044,CC    ,CA,482.56,0,,0,0,0,0,,,0,4384.96,,4/21/2017,,4/28/2017,,,CO,
1,22068,SC    ,CA,0,2033.22,,2033.22,0,0,0,,,0,11049.06,,5/10/2017,,5/10/2017,,,CO,
