cust,monthly_bill,tax_body,biz_type,compost,garbage,recycle,total_yards,do_they_recycle,do_they_compost,needed_recycle,needed_compost
8212,269.13,S,MULTIFAMIL,1.44,0.96,3.36,5.76,Yes,Yes,3.36,1.44
8212,269.13,S,MULTIFAMIL,1.44,0.96,3.36,5.76,Yes,Yes,3.36,1.44
8213,65.24,S,DUPLEX,0.48,0.16,0.48,1.12,Yes,Yes,0.48,0.48
8213,65.24,S,DUPLEX,0.48,0.16,0.48,1.12,Yes,Yes,0.48,0.48
8213,65.24,S,DUPLEX,0.48,0.16,0.48,1.12,Yes,Yes,0.48,0.48
8657,97.87,S,RESTAURANT,0,0.48,0.96,1.44,Yes,No,0.96,
8657,97.87,S,RESTAURANT,0,0.48,0.96,1.44,Yes,No,0.96,
8758,1130.67,COUNTY,WINERY,0,4,0,4,No,No,,
8758,1130.67,COUNTY,WINERY,0,4,0,4,No,No,,
8800,304.02,C,MULTIFAMIL,0,0.48,0,0.48,No,No,,
8883,482.56,COUNTY,CONTRACTOR,0,2,0,2,No,No,,
8959,844.48,COUNTY,WINERY,0,0,2,2,Yes,No,2,
9349,72.9,COUNTY,WINERY,0,0.16,0,0.16,No,No,,
9375,1782.8,C,PARK,0,0,12,12,Yes,No,12,
9376,1185.33,S,RESTAURANT,17.44,0,6,23.44,Yes,Yes,6,17.44
9376,1185.33,S,RESTAURANT,17.44,0,6,23.44,Yes,Yes,6,17.44
9376,1185.33,S,RESTAURANT,17.44,0,6,23.44,Yes,Yes,6,17.44
9481,1601.16,Y,RESTAURANT,0,8,8.48,16.48,Yes,No,8.48,
9481,1601.16,Y,RESTAURANT,0,8,8.48,16.48,Yes,No,8.48,
9481,1601.16,Y,RESTAURANT,0,8,8.48,16.48,Yes,No,8.48,
9784,134.57,COUNTY,VINEYARD,0.48,0,0,0.48,No,Yes,,0.48
9819,32.62,S,RETAIL,0,0.16,0,0.16,No,No,,
9846,97.87,S,COMMUNITY,0,0.48,0,0.48,No,No,,
9850,253.08,Y,RETAIL,0,0.48,0.96,1.44,Yes,No,0.96,
9850,253.08,Y,RETAIL,0,0.48,0.96,1.44,Yes,No,0.96,
9850,253.08,Y,RETAIL,0,0.48,0.96,1.44,Yes,No,0.96,
9906,1005.67,COUNTY,CONTRACTOR,0,4,0,4,No,No,,
9910,44.86,COUNTY,POSTOFFICE,0,0.16,0.48,0.64,Yes,No,0.48,
9910,44.86,COUNTY,POSTOFFICE,0,0.16,0.48,0.64,Yes,No,0.48,
9920,2317.12,C,MULTIFAMIL,0,12,1.92,13.92,Yes,No,1.92,
9920,2317.12,C,MULTIFAMIL,0,12,1.92,13.92,Yes,No,1.92,
9920,2317.12,C,MULTIFAMIL,0,12,1.92,13.92,Yes,No,1.92,
9928,269.14,COUNTY,CHURCH,0.48,0.96,0.48,1.92,Yes,Yes,0.48,0.48
9928,269.14,COUNTY,CHURCH,0.48,0.96,0.48,1.92,Yes,Yes,0.48,0.48
9928,269.14,COUNTY,CHURCH,0.48,0.96,0.48,1.92,Yes,Yes,0.48,0.48
9929,1627.98,C,LODGING,0,8,0,8,No,No,,
9964,276.77,C,MEDICAL,0.96,0.48,0.48,1.92,Yes,Yes,0.48,0.96
9964,276.77,C,MEDICAL,0.96,0.48,0.48,1.92,Yes,Yes,0.48,0.96
9964,276.77,C,MEDICAL,0.96,0.48,0.48,1.92,Yes,Yes,0.48,0.96
9964,276.77,C,MEDICAL,0.96,0.48,0.48,1.92,Yes,Yes,0.48,0.96
10065,2816.91,COUNTY,WINERY,1.92,0,0,1.92,No,Yes,,1.92
10065,2816.91,COUNTY,WINERY,1.92,0,0,1.92,No,Yes,,1.92
10067,5246.71,COUNTY,WINERY,0,8,6,14,Yes,No,6,
10067,5246.71,COUNTY,WINERY,0,8,6,14,Yes,No,6,
10071,3322.57,COUNTY,WINERY,4,0,0,4,No,Yes,,4
10076,1898.55,COUNTY,LODGING-FW,0.96,8,0.96,9.920000000000002,Yes,Yes,0.96,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,8,0.96,9.920000000000002,Yes,Yes,0.96,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,8,0.96,9.920000000000002,Yes,Yes,0.96,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,8,0.96,9.920000000000002,Yes,Yes,0.96,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,8,0.96,9.920000000000002,Yes,Yes,0.96,0.96
10082,303.72,Y,MULTIFAMIL,0,1.44,0.96,2.4,Yes,No,0.96,
10082,303.72,Y,MULTIFAMIL,0,1.44,0.96,2.4,Yes,No,0.96,
10083,1558.21,COUNTY,UTILITY,0,4,5.4399999999999995,9.44,Yes,No,5.4399999999999995,
10083,1558.21,COUNTY,UTILITY,0,4,5.4399999999999995,9.44,Yes,No,5.4399999999999995,
10083,1558.21,COUNTY,UTILITY,0,4,5.4399999999999995,9.44,Yes,No,5.4399999999999995,
10103,428.24,C,MULTIFAMIL,0,2,0,2,No,No,,
10106,1791.03,C,LODGING,0.48,8,0.96,9.440000000000001,Yes,Yes,0.96,0.48
10106,1791.03,C,LODGING,0.48,8,0.96,9.440000000000001,Yes,Yes,0.96,0.48
10106,1791.03,C,LODGING,0.48,8,0.96,9.440000000000001,Yes,Yes,0.96,0.48
10106,1791.03,C,LODGING,0.48,8,0.96,9.440000000000001,Yes,Yes,0.96,0.48
10112,202.48,Y,CHURCH,1.44,0.96,0.48,2.88,Yes,Yes,0.48,1.44
10112,202.48,Y,CHURCH,1.44,0.96,0.48,2.88,Yes,Yes,0.48,1.44
10112,202.48,Y,CHURCH,1.44,0.96,0.48,2.88,Yes,Yes,0.48,1.44
10139,1511.27,S,STRIP MALL,0.48,4,3.36,7.84,Yes,Yes,3.36,0.48
10139,1511.27,S,STRIP MALL,0.48,4,3.36,7.84,Yes,Yes,3.36,0.48
10139,1511.27,S,STRIP MALL,0.48,4,3.36,7.84,Yes,Yes,3.36,0.48
10139,1511.27,S,STRIP MALL,0.48,4,3.36,7.84,Yes,Yes,3.36,0.48
10144,608.04,C,MULTIFAMIL,1.44,1.44,1.44,4.32,Yes,Yes,1.44,1.44
