cust,monthly_bill,tax_body,biz_type,compost,garbage,recycle,total_yards,needed_recycle,needed_compost
10065,2816.91,COUNTY,WINERY,2.4,6,8,16.4,8,2.4
10065,2816.91,COUNTY,WINERY,2.4,6,8,16.4,8,2.4
10065,2816.91,COUNTY,WINERY,2.4,6,8,16.4,8,2.4
10071,3322.57,COUNTY,WINERY,4,6,10,20,10,4
10071,3322.57,COUNTY,WINERY,4,6,10,20,10,4
10071,3322.57,COUNTY,WINERY,4,6,10,20,10,4
10071,3322.57,COUNTY,WINERY,4,6,10,20,10,4
10076,1898.55,COUNTY,LODGING-FW,0.96,16,1.92,18.880000000000003,1.92,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,16,1.92,18.880000000000003,1.92,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,16,1.92,18.880000000000003,1.92,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,16,1.92,18.880000000000003,1.92,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,16,1.92,18.880000000000003,1.92,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,16,1.92,18.880000000000003,1.92,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,16,1.92,18.880000000000003,1.92,0.96
10076,1898.55,COUNTY,LODGING-FW,0.96,16,1.92,18.880000000000003,1.92,0.96
10106,1791.03,C,LODGING,0.48,16,2.88,19.36,2.88,0.48
10106,1791.03,C,LODGING,0.48,16,2.88,19.36,2.88,0.48
10106,1791.03,C,LODGING,0.48,16,2.88,19.36,2.88,0.48
10106,1791.03,C,LODGING,0.48,16,2.88,19.36,2.88,0.48
10106,1791.03,C,LODGING,0.48,16,2.88,19.36,2.88,0.48
10106,1791.03,C,LODGING,0.48,16,2.88,19.36,2.88,0.48
10106,1791.03,C,LODGING,0.48,16,2.88,19.36,2.88,0.48
10106,1791.03,C,LODGING,0.48,16,2.88,19.36,2.88,0.48
10106,1791.03,C,LODGING,0.48,16,2.88,19.36,2.88,0.48
10112,202.48,Y,CHURCH,1.44,0.96,0.48,2.88,0.48,1.44
10112,202.48,Y,CHURCH,1.44,0.96,0.48,2.88,0.48,1.44
10112,202.48,Y,CHURCH,1.44,0.96,0.48,2.88,0.48,1.44
10139,1511.27,S,STRIP MALL,0.48,8,3.36,11.84,3.36,0.48
10139,1511.27,S,STRIP MALL,0.48,8,3.36,11.84,3.36,0.48
