cust,monthly_bill,cycle,qty,size,commodity,pickups,bin_amount,tax_body,biz_type
11529,363.91,CA,1,0.48,Recycle,1,0,S,WINERY
11529,363.91,CA,1,0.48,Recycle,1,0,S,WINERY
11529,363.91,CA,1,0.48,Recycle,1,0,S,WINERY
11531,1308,MA,1,2,Garbage,1,435.94,Y,MEMBER
11531,1308,MA,1,6,Recycle,1,872.06,Y,MEMBER
11536,293.71,CA,1,0.48,Garbage,1,218.71,COUNTY,WINERY
11536,293.71,CA,3,0.48,Recycle,1,0,COUNTY,WINERY
11536,293.71,CA,1,4,Recycle,1,75,COUNTY,WINERY
11554,2671.79,CA,1,6,Garbage,2,2521.79,COUNTY,RESTAURANT
11554,2671.79,CA,1,6,Garbage,2,2521.79,COUNTY,RESTAURANT
11554,2671.79,CA,3,0.48,Recycle,1,0,COUNTY,RESTAURANT
11554,2671.79,CA,5,0.48,Compost,1,0,COUNTY,RESTAURANT
11554,2671.79,CA,1,0.48,Compost,1,0,COUNTY,RESTAURANT
11554,2671.79,CA,1,0.48,Compost,1,0,COUNTY,RESTAURANT
11554,2671.79,CA,4,0.32,Compost,3,0,COUNTY,RESTAURANT
11554,2671.79,CA,4,0.32,Compost,3,0,COUNTY,RESTAURANT
11554,2671.79,CA,4,0.32,Compost,3,0,COUNTY,RESTAURANT
11554,2671.79,CA,1,4,Recycle,1,75,COUNTY,RESTAURANT
11554,2671.79,CA,1,6,Recycle,3,75,COUNTY,RESTAURANT
11554,2671.79,CA,1,6,Recycle,3,75,COUNTY,RESTAURANT
11554,2671.79,CA,1,6,Recycle,3,75,COUNTY,RESTAURANT
11563,33.75,CA,1,0.16,Garbage,1,33.75,Y,HOA
11563,33.75,CA,1,0.48,Recycle,1,0,Y,HOA
11565,363.91,CA,1,2,Garbage,1,363.91,S,LANDSCAPER
11567,0,CA,1,3.5,Garbage,1,0,COUNTY,WINERY
11567,0,CA,3,0.48,Recycle,1,0,COUNTY,WINERY
11567,0,CA,1,3.5,Recycle,1,0,COUNTY,WINERY
11570,269.13,CA,1,0.32,Garbage,1,89.71,COUNTY,WINERY
11570,269.13,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
11570,269.13,CA,1,0.48,Compost,1,0,COUNTY,WINERY
11570,269.13,CA,1,0.32,Garbage,1,89.71,COUNTY,WINERY
11570,269.13,CA,1,0.32,Garbage,1,89.71,COUNTY,WINERY
11570,269.13,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
